"State","pvi","governorParty","senateParty","houseBalance","Pop"
"Wyoming","25","Republican","Republican","1R","581075"
"Utah","20","Republican","Republican","3R, 1D","3310770"
"Oklahoma","20","Republican","Republican","4R, 1D","3990440"
"West Virginia","19","Republican","Both","3R","1767860"
"Idaho","19","Republican","Republican","2R","1860120"
"North Dakota","17","Republican","Republican","1R","770026"
"Kentucky","15","Republican","Republican","5R, 1D","4480710"
"Arkansas","15","Republican","Republican","4R","3033950"
"Tennessee","14","Republican","Republican","7R, 2D","6944260"
"South Dakota","14","Republican","Republican","1R","896581"
"Nebraska","14","Republican","Republican","3R","1952000"
"Alabama","14","Republican","Both","6R, 1D","4934190"
"Kansas","13","Democratic","Republican","3R, 1D","2917220"
"Montana","11","Democratic","Both","1R","1085000"
"Louisiana","11","Democratic","Republican","5R, 1D","4627000"
"Missouri","9","Republican","Republican","6R, 2D","6169040"
"Mississippi","9","Republican","Republican","3R, 1D","2966410"
"Indiana","9","Republican","Republican","7R, 2D","6805660"
"Alaska","9","Republican","Republican","1R","724357"
"Texas","8","Republican","Republican","23R, 13D","29730300"
"South Carolina","8","Republican","Republican","5R, 2D","5277830"
"Georgia","5","Republican","Republican","9R, 5D","10830000"
"Arizona","5","Republican","Both","5D, 4R","7520100"
"Ohio","3","Republican","Both","12R, 4D","11714600"
"North Carolina","3","Democratic","Republican","8R, 3D, 2 Vacant","10701000"
"Iowa","3","Republican","Republican","3D, 1R","3167970"
"Florida","2","Republican","Republican","14R, 13D","21944600"
"Wisconsin","","Democratic","Both","5R, 3D","5852490"
"Pennsylvania","","Democratic","Both","9D, 9R","12804100"
"New Hampshire","","Republican","Democratic","2D","1372200"
"Virginia","-1","Democratic","Democratic","7D, 4R","8603980"
"Nevada","-1","Democratic","Democratic","3D, 1R","3185790"
"Minnesota","-1","Democratic","Democratic","5D, 3R","5706400"
"Michigan","-1","Democratic","Democratic","7D, 6R, 1I","9992430"
"Colorado","-1","Democratic","Both","4D, 3R","5893630"
"New Mexico","-3","Democratic","Democratic","3D","2105000"
"Maine","-3","Democratic","Both*","2D","1354520"
"Oregon","-5","Democratic","Democratic","4D, 1R","4289440"
"Delaware","-6","Democratic","Democratic","1D","990334"
"Connecticut","-6","Democratic","Democratic","5D","3552820"
"Washington","-7","Democratic","Democratic","7D, 3R","7796940"
"New Jersey","-7","Democratic","Democratic","11D, 1R","8874520"
"Illinois","-7","Democratic","Democratic","13D, 5R","12569300"
"Rhode Island","-10","Democratic","Democratic","2D","1061510"
"New York","-12","Democratic","Democratic","21D, 6R","19300000"
"Massachusetts","-12","Republican","Democratic","9D","6912240"
"Maryland","-12","Republican","Democratic","7D, 1R","6065440"
"California","-12","Democratic","Democratic","46D, 7R","39613500"
"Vermont","-15","Republican","Democratic*","1D","623251"
"Hawaii","-18","Democratic","Democratic","2D","1406430"
